geonameid,name,asciiname,alternatenames,latitude,longitude,featureclass,featurecode,cc,cc2,admin1,admin2,admin3,admin4,population,dem,timezone,moddate
4046222,Caney Creek,Caney Creek,,33.09207,-94.54965,H,STM,US,,TX,067,,,0,76,90,America/Chicago,2006-01-15
4046223,Bavar Creek,Bavar Creek,,34.08788,-86.92361,H,STM,US,,AL,043,,,0,170,173,America/Chicago,2006-01-15
4046225,Arrington School,Arrington School,,32.15292,-86.1708,S,SCH,US,,AL,101,,,0,103,116,America/Chicago,2006-01-15
4046226,Cat Knob,Cat Knob,,31.39572,-98.99838,T,MT,US,,TX,411,,,0,421,421,America/Chicago,2006-01-15
4046227,Baxley Branch,Baxley Branch,,33.01762,-86.30359,H,STM,US,,AL,037,,,0,186,200,America/Chicago,2010-02-20
4046228,Cedar Hill State Park Trail,Cedar Hill State Park Trail,,32.59152,-96.99306,R,TRL,US,,TX,113,,,0,193,200,America/Chicago,2006-01-15
4046229,Baxley Hill,Baxley Hill,,32.51569,-85.80996,T,MT,US,,AL,123,,,0,148,144,America/Chicago,2006-01-15
4046230,Cherokee,Cherokee,,30.98239,-98.70754,P,PPL,US,,TX,411,,,0,456,459,America/Chicago,2006-01-15
4046231,Baxter,Baxter,,33.69039,-88.23614,S,,US,,AL,075,,,0,89,90,America/Chicago,2010-10-12
4046232,Chisholm Trail Park,Chisholm Trail Park,,32.14237,-97.47835,L,PRK,US,,TX,217,,,0,167,172,America/Chicago,2006-01-15
4046233,Baxter School (historical),Baxter School (historical),,31.73961,-85.5755,S,SCH,US,,AL,005,,,0,148,159,America/Chicago,2010-02-19
4046234,Church of Christ Glascow,Church of Christ Glascow,,28.87693,-97.00082,S,CH,US,,TX,469,,,0,37,40,America/Chicago,2007-02-14
4046235,Baxters,Baxters,"Barters,Baxters",31.75766,-85.58105,P,PPL,US,,AL,005,,,0,157,159,America/Chicago,2006-01-15
4046236,Church of God,Church of God,,33.64066,-96.58582,S,CH,US,,TX,181,,,0,234,237,America/Chicago,2007-02-14
4046237,Bay Branch,Bay Branch,,30.63019,-87.81777,H,STM,US,,AL,003,,,0,23,43,America/Chicago,2010-02-14
4046238,City Cemetery,City Cemetery,,31.11768,-97.7053,S,CMTY,US,,TX,027,,,0,250,250,America/Chicago,2006-01-15
4046239,Baxley Mountain,Baxley Mountain,,33.01401,-86.30859,T,MT,US,,AL,037,,,0,252,250,America/Chicago,2006-01-15
4046240,City Park,City Park,,28.97358,-98.48279,L,PRK,US,,TX,013,,,0,108,112,America/Chicago,2006-01-15
4046241,Bay Branch,Bay Branch,,31.20823,-86.4744,H,STM,US,,AL,039,,,0,55,66,America/Chicago,2006-01-15
